"Symbol","Name","last","change","changepercent","open","high","low","bid","ask","vwap","sharevolume","dividend yield","beta","marketcap","sharesoutstanding","eps","peratio","pbratio","week52high","week52low","week52highvwap","week52lowvwap","week52highvol","week52lowvol","week52avgvol"
"POW.PR.B","Power Corporation of Canada 5.35% Non-Cumulative First Preferred Shares Series B",25.23,0.02,0.079334,25.3,25.38,25.23,25.16,25.39,25.2723999,2854,5.301,0.6383020281791687,201840000,8000000,,,,25.74,15.57,25.5725,17.0978,32200,100,4064
"PPL.PR.I","Pembina Pipeline Corporation cumulative redeemable rate reset class A preferred shares series 9",22.41,-0.13,-0.576752,22.3,22.41,22.25,22.4,22.64,22.33,3910,4.799,1.4247829914093018,201690000,9000000,,,,22.55,9.31,22.54,9.4774,212926,50,9225
"BRF.PR.C","Brookfield Renewable Power Preferred Equity Inc. Class A Preference Shares Series 3",20.23,-0.06,-0.295712,20.25,20.25,20.23,20,20.24,20.2334614,2604,5.377,0.8616960048675537,201490800,9961399,,,,20.92,11.56,20.547,12.0408,163767,25,7353
"GWO.PR.S","Great-West Lifeco Inc. 5.25% Non-Cumulative First Preferred Shares Series S",25.16,-0.11,-0.435299,25.26,25.27,25.16,25.16,25.3,25.2158015,13171,5.217,0.6875090003013611,201280000,8000000,,,,25.71,15.85,25.6586,15.9515,52900,8,4130
"PWF.PR.F","Power Financial Corporation 5.25% Non-Cumulative First Preferred Shares Series E",25.12,-0.12,-0.475436,25.35,25.35,25.11,25.11,25.25,25.2027083,5011,5.225,0.6961740255355835,200960000,8000000,,,,25.5,16.13,25.3965,16.3598,143900,12,5707
"FVL","Freegold Ventures Limited",0.61,0,0,0.61,0.625,0.58,0.6,0.61,0.594772096,367664,,2.5640718936920166,200718267,332729116,0,-302.3,2.179,1.96,0.04,1.841,0.04,27984545,4,2110899
"WN.PR.C","George Weston Limited 5.20% Preferred Shares Series III",25.02,-0.18,-0.714286,25.15,25.25,25.02,25.05,25.09,25.1507692,14460,5.196,0.3762519955635071,200160000,8000000,,,,25.6,18.71,25.51,19.3686,554500,200,8395
"GWO.PR.Q","Great-West Lifeco Inc. 5.15% Non-Cumulative First Preferred Shares Series Q",25.01,-0.06,-0.23933,25,25.07,25,25,25.07,25.00875,2400,5.148,0.6397759914398193,200080000,8000000,,,,25.66,15.64,25.4,15.77,113873,24,5875
"WN.PR.D","George Weston Limited 5.20% Preferred Shares Series IV",25.01,-0.1,-0.398248,25.13,25.15,25,24.97,25.15,25.0884831,17965,5.198,0.38600999116897583,200080000,8000000,,,,25.56,19.11,25.5284,19.4429,184778,56,6363
"NAC.U","NextPoint Acquisition Corp. Class A Restricted Voting Shares",10,0.02,0.200401,9.95,10,9.95,9.83,10.25,9.9944481,60700,,-0.046424999833106995,200000000,20000000,-0.100000001,-99.5,,10.44,9.5,10.3699,9.6215,667600,100,27327
"PWF.PR.L","Power Financial Corporation 5.10% NON-CUMULATIVE FIRST PREFERRED SHARES SERIES L",25,-0.1,-0.398406,25.08,25.08,25,24.9,25.14,25.0418181,2220,5.1,0.6026589870452881,200000000,8000000,,,,25.35,15.61,25.2938,16.0612,241500,35,7790
"TRZ","Transat A.T. Inc. Voting and Variable Voting Shares",5.29,0.06,1.147228,5.23,5.32,5.12,5.29,5.3,5.22003046,166726,,1.5764130353927612,199682106,37747090,-6.26999998,-0.8,0.644,15,3.56,14.7437,3.6327,2421177,14202,248712
"BPO.PR.C","Brookfield Office Properties Inc. Class AAA Preference Shares Series CC",24.85,0,0,24.85,24.85,24.8,24.8,24.85,24.8416666,1335,6.036,0.5551019906997681,198800000,8000000,,,,25.89,15.03,25.8516,15.8765,117286,25,9982
